,firm,q,booktomarketratio,salesannualgrowth,operatingprofitgrowth,market_value
5758,GPI,2022q1,167.83,0.2772093023255815,1.8664047151277015,327134236.0
5759,GPI,2022q2,169.8,0.12025726948437998,1.070380127963869,340364100.0
5760,GPS,2000q1,,,,
5761,GPS,2000q2,31.25,,,75868562.5
5762,GPS,2000q3,20.125,,,50295212.625
5763,GPS,2000q4,25.5,,,66814233.0
5764,GPS,2001q1,23.719999313,,,69457827.0682998
5765,GPS,2001q2,29.0,0.16386077547868028,0.5391566740919791,89176102.0
5766,GPS,2001q3,11.949999809,0.10092736269529534,0.5585088732263502,38823505.92947366
5767,GPS,2001q4,13.93999958,-0.023807585393367692,0.011967064294701301,42567559.09747666
5768,GPS,2002q1,15.039999961,-0.10689093548759054,-0.08742477950889303,45264098.12262634
5769,GPS,2002q2,14.199999809,-0.09083246741156903,0.550204627811801,43706051.61212282
5770,GPS,2002q3,10.85,0.0071150822178718265,1.0008615055552255,34325331.25
5771,GPS,2002q4,15.52,0.09347378766192693,81.50545648123503,52590171.839999996
5772,GPS,2003q1,14.489999771,0.13717125653330076,-10.818228067051612,53007491.04226945
5773,GPS,2003q2,18.760000229,0.15979127174108565,3.450484195950684,72654798.20688425
5774,GPS,2003q3,17.12,0.127585855560169,2.3491496245288057,70312593.28
5775,GPS,2003q4,23.21,0.07805306840466653,1.5471497243775636,102141384.29
5776,GPS,2004q1,21.92,0.050718143277733496,1.4596317397019025,104843360.00000001
5777,GPS,2004q2,24.25,0.09402043861629683,1.4945914311806243,123820500.0
5778,GPS,2004q3,18.65,0.009687409352673981,1.048705417384756,99963999.99999999
5779,GPS,2004q4,21.12,0.012862849208643556,0.9857270106087023,111893760.0
5780,GPS,2005q1,21.84,0.002358756027352138,1.0019701116503994,107802240.0
5781,GPS,2005q2,19.75,-0.011450381679389277,0.8003442340791739,118954250.0
5782,GPS,2005q3,17.43,-0.0013437248051598738,1.0313253012048194,93773400.0
5783,GPS,2005q4,17.64,-0.03015075376884424,0.728051391862955,95061960.0
5784,GPS,2006q1,18.68,-0.015720702327480574,0.8231511254019293,101339000.0
5785,GPS,2006q2,17.4,-0.05102040816326525,0.8021505376344086,91854599.99999999
5786,GPS,2006q3,18.95,0.0,0.42990654205607476,100112850.0
5787,GPS,2006q4,19.5,-0.0010362694300518616,0.788235294117647,101263500.0
5788,GPS,2007q1,17.21,0.02260941713337483,0.681640625,89044540.0
5789,GPS,2007q2,19.1,0.03400174367916309,0.6970509383378016,101745700.00000001
5790,GPS,2007q3,18.44,-0.008342303552206665,1.2228260869565217,96828440.0
5791,GPS,2007q4,21.28,-0.0005186721991701226,1.373134328358209,98100800.0
5792,GPS,2008q1,19.68,-0.051724137931034475,1.1977077363896849,84112320.0
5793,GPS,2008q2,16.67,-0.04890387858347389,1.4730769230769232,71897710.0
5794,GPS,2008q3,17.78,-0.0504748982360923,1.6577777777777778,75102720.0
5795,GPS,2008q4,13.39,-0.07602490918526206,1.0706521739130435,57911750.0
5796,GPS,2009q1,12.99,-0.12684491978609624,0.9521531100478469,56987130.0
5797,GPS,2009q2,16.4,-0.07594562647754133,0.9216710182767625,74456000.0
5798,GPS,2009q3,21.4,-0.07259216919119749,1.0053619302949062,101543000.0
5799,GPS,2009q4,20.95,0.00786295984274088,1.2690355329949239,104351950.0
5800,GPS,2010q1,23.11,0.03772660460558552,1.4748743718592965,113031010.0
5801,GPS,2010q2,19.46,0.06459865685960975,1.3427762039660056,95490220.0
5802,GPS,2010q3,18.64,0.022187981510015442,1.0586666666666666,80655280.0
5803,GPS,2010q4,22.14,0.018110894399554267,1.008,96176160.0
5804,GPS,2011q1,22.66,0.03021718602455148,1.010221465076661,92452800.0
